generation,best_fitness,mean_fitness,median_fitness
0,0.10150735460936719,0.0036793552346038494,0.005123843695110429
1,0.10766467398076532,-0.01157281154541113,-0.019758037817412304
2,0.11536351125256804,-0.008986870121736414,0.0005953346426044856
3,0.10304404699808052,-0.012849819647102453,-0.003881973743532407
4,0.2224395022462747,0.02857713532534163,0.01927549818501871
5,0.20713648927982053,-0.00033819136024088384,0.013845929624664218
6,0.14665980320186764,0.037132217694510174,0.052003382372442467
7,0.18188202759041128,0.053561241448861874,0.061121660418430965
8,0.21282238821581112,0.037527155007504705,0.03080758199276814
9,0.2943688680402491,0.04640537138525549,0.03842388677946698
