% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, further/more values", seed=779252, Sun Oct  5 08:55:54 2025, <python>{}</python>
1 16 0.29672457254501794 1.000049904533391 0.31812537843416494 3.1812537843416494e-01 0.31989772463431293 0.32188321002857556 0.0013592318318108587   
2 32 0.293747875155424 1.000049904533391 0.3172905288857251 3.1729052888572512e-01 0.3192809924910676 0.32078138152618574 0.0008869775929586377   
3 48 0.2909929225974685 1.000049904533391 0.3167855175234397 3.1678551752343970e-01 0.3197154967492722 0.3208793582802444 0.0012924997396953075   
4 64 0.2884621725701036 1.000049904533391 0.3159359370140022 3.1593593701400219e-01 0.31903954093929976 0.3211877553352961 0.0013237135908614195   
5 80 0.286028091838115 1.000049904533391 0.3159359370140022 3.1742557263241505e-01 0.3191661573293952 0.3197501039930579 0.0009304614214258877   
6 96 0.2836990611854067 1.000049904533391 0.3159359370140022 3.1638501056522977e-01 0.31911425320079506 0.3248691609765394 0.0013480456447853006   
7 112 0.2814924171674445 1.000049904533391 0.3159359370140022 3.1802157535660291e-01 0.31896564828400126 0.3213878763007128 0.0011092755144103128   
8 128 0.27935967570758485 1.0049941507964886 0.3159359370140022 3.1774015028935249e-01 0.31887861254114436 0.3207483735566554 0.0015425496673311945   
9 144 0.2773443702310951 1.0049941507964886 0.3159359370140022 3.1771048132167912e-01 0.3188316958904435 0.32137716808146666 0.001040689632486158   
10 160 0.2754604848649385 1.0049941507964886 0.3159359370140022 3.1754558656615089e-01 0.3182337289994275 0.3197321156212072 0.000920352266796487   
11 176 0.2736597209027849 1.0049941507964886 0.3159359370140022 3.1747390698422695e-01 0.31818044120711375 0.32057637626585184 0.0007443755845893407   
12 192 0.27190682085639056 1.0049941507964886 0.31585334897878947 3.1585334897878947e-01 0.3180768156358982 0.31982239904867915 0.0010763714391366919   
