time,gen,duration_s,sigma,fit_parent,best_global,best_x
23:58:23,1,45,0.250000,-0.730494,-0.730494,-0.815254
23:58:41,2,45,0.250000,-0.693988,-0.693988,-0.730225
23:58:59,3,45,0.250000,-0.643548,-0.643548,-0.672592
23:59:16,4,45,0.250000,-0.643548,-0.643548,-0.618363
23:59:34,5,45,0.300000,-0.643548,-0.643548,-0.618363
23:59:52,6,45,0.300000,-0.532121,-0.532121,-0.618363
00:00:10,7,45,0.300000,-0.532121,-0.532121,-0.518553
00:00:28,8,45,0.300000,-0.532121,-0.532121,-0.518553
00:00:47,9,45,0.300000,-0.532121,-0.532121,-0.518553
00:01:05,10,45,0.300000,-0.532121,-0.532121,-0.518553
00:01:23,11,45,0.300000,-0.532121,-0.532121,-0.518553
00:01:41,12,45,0.300000,-0.532121,-0.532121,-0.518553
00:01:59,13,45,0.300000,-0.532121,-0.532121,-0.518553
00:02:17,14,45,0.300000,-0.532121,-0.532121,-0.518553
00:02:35,15,45,0.250000,-0.532121,-0.532121,-0.518553
00:02:52,16,45,0.250000,-0.532121,-0.532121,-0.518553
00:03:11,17,45,0.250000,-0.532121,-0.532121,-0.518553
00:03:29,18,45,0.250000,-0.532121,-0.532121,-0.518553
00:03:47,19,45,0.250000,-0.532121,-0.532121,-0.518553
00:04:06,20,45,0.208333,-0.532121,-0.532121,-0.518553
00:04:23,21,45,0.208333,-0.532121,-0.532121,-0.518553
00:04:41,22,45,0.208333,-0.532121,-0.532121,-0.518553
00:04:59,23,45,0.208333,-0.532121,-0.532121,-0.518553
00:05:17,24,45,0.208333,-0.532121,-0.532121,-0.518553
00:05:36,25,45,0.173611,-0.532121,-0.532121,-0.518553
00:05:54,26,45,0.173611,-0.532121,-0.532121,-0.518553
00:06:13,27,45,0.173611,-0.532121,-0.532121,-0.518553
00:06:31,28,45,0.173611,-0.532121,-0.532121,-0.518553
00:06:49,29,45,0.173611,-0.532121,-0.532121,-0.518553
00:07:07,30,45,0.144676,-0.532121,-0.532121,-0.518553
00:07:25,31,45,0.144676,-0.532121,-0.532121,-0.518553
00:07:43,32,45,0.144676,-0.532121,-0.532121,-0.518553
00:08:01,33,45,0.144676,-0.532121,-0.532121,-0.518553
00:08:19,34,45,0.144676,-0.532121,-0.532121,-0.518553
00:08:37,35,45,0.144676,-0.490562,-0.490562,-0.518553
00:08:55,36,45,0.144676,-0.490562,-0.490562,-0.489556
00:09:12,37,45,0.144676,-0.490562,-0.490562,-0.489556
00:09:30,38,45,0.144676,-0.490562,-0.490562,-0.489556
00:09:48,39,45,0.144676,-0.490562,-0.490562,-0.489556
00:10:06,40,45,0.120563,-0.490562,-0.490562,-0.489556
00:10:24,41,45,0.120563,-0.477211,-0.477211,-0.489556
00:10:43,42,45,0.120563,-0.477211,-0.477211,-0.410121
00:11:01,43,45,0.120563,-0.477211,-0.477211,-0.410121
00:11:19,44,45,0.120563,-0.477211,-0.477211,-0.410121
00:11:37,45,45,0.120563,-0.477211,-0.477211,-0.410121
00:11:55,46,45,0.120563,-0.477211,-0.477211,-0.410121
00:12:13,47,45,0.120563,-0.477211,-0.477211,-0.410121
00:12:31,48,45,0.120563,-0.477211,-0.477211,-0.410121
00:12:49,49,45,0.120563,-0.477211,-0.477211,-0.410121
00:13:07,50,45,0.100469,-0.477211,-0.477211,-0.410121
00:13:25,51,45,0.100469,-0.477211,-0.477211,-0.410121
00:13:43,52,45,0.100469,-0.459980,-0.459980,-0.410121
00:14:01,53,45,0.100469,-0.459980,-0.459980,-0.410121
00:14:19,54,45,0.100469,-0.459980,-0.459980,-0.410121
00:14:37,55,45,0.100469,-0.459980,-0.459980,-0.410121
00:14:55,56,45,0.100469,-0.459980,-0.459980,-0.410121
00:15:14,57,45,0.100469,-0.459980,-0.459980,-0.410121
00:15:32,58,45,0.100469,-0.459980,-0.459980,-0.410121
00:15:50,59,45,0.100469,-0.459980,-0.459980,-0.410121
00:16:08,60,45,0.083724,-0.459980,-0.459980,-0.410121
