time,gen,duration_s,sigma,fit_parent,best_global,best_x
17:37:59,1,30,0.250000,-5.727681,-5.727681,-0.760078
17:38:19,2,30,0.250000,-5.718576,-5.718576,-0.692437
17:38:39,3,30,0.250000,-5.479130,-5.479130,-0.663883
17:38:59,4,30,0.250000,-5.465361,-5.465361,-0.447225
17:39:19,5,30,0.300000,-5.188451,-5.188451,-0.435885
17:39:38,6,30,0.300000,-5.149381,-5.149381,-0.111392
17:40:19,7,60,0.300000,-4.594251,-4.594251,0.436609
17:41:00,8,60,0.300000,-4.594251,-4.594251,0.436609
17:41:40,9,60,0.300000,-4.594251,-4.594251,0.436609
17:42:21,10,60,0.360000,-4.536784,-4.536784,0.436609
17:43:03,11,60,0.360000,-4.536784,-4.536784,0.518837
17:43:45,12,60,0.360000,-4.536784,-4.536784,0.518837
17:44:26,13,60,0.360000,-4.536784,-4.536784,0.518837
17:45:09,14,60,0.360000,-4.536784,-4.536784,0.518837
17:45:50,15,60,0.300000,-4.536784,-4.536784,0.518837
17:46:32,16,60,0.300000,-4.482102,-4.482102,0.518837
17:47:13,17,60,0.300000,-4.482102,-4.482102,0.607670
17:47:55,18,60,0.300000,-4.482102,-4.482102,0.607670
17:48:39,19,60,0.300000,-4.482102,-4.482102,0.607670
17:49:22,20,60,0.300000,-4.482102,-4.482102,0.607670
17:50:07,21,60,0.300000,-4.482102,-4.482102,0.607670
17:50:55,22,60,0.300000,-4.437748,-4.437748,0.607670
17:51:35,23,60,0.300000,-4.437748,-4.437748,0.607670
17:52:21,24,60,0.300000,-4.437748,-4.437748,0.607670
17:53:08,25,60,0.300000,-4.437748,-4.437748,0.607670
17:53:50,26,60,0.300000,-4.437748,-4.437748,0.607670
17:54:32,27,60,0.300000,-4.437748,-4.437748,0.607670
17:55:13,28,60,0.300000,-4.437748,-4.437748,0.607670
