time,gen,duration_s,sigma,fit_parent,best_global,best_x
18:40:03,1,30,0.350000,-0.781874,-0.781874,-0.798283
18:40:15,2,30,0.350000,-0.758541,-0.758541,-0.753440
18:40:28,3,30,0.350000,-0.744810,-0.744810,-0.718332
18:40:41,4,30,0.350000,-0.734181,-0.734181,-0.687263
18:40:53,5,30,0.420000,-0.667596,-0.667596,-0.673856
18:41:06,6,30,0.420000,-0.631554,-0.631554,-0.620720
18:41:18,7,30,0.420000,-0.631554,-0.631554,-0.599009
18:41:30,8,30,0.420000,-0.495057,-0.495057,-0.599009
18:41:42,9,30,0.420000,-0.439288,-0.439288,-0.471988
18:41:54,10,30,0.504000,-0.439288,-0.439288,-0.394377
18:42:06,11,30,0.504000,-0.439288,-0.439288,-0.394377
18:42:19,12,30,0.504000,-0.439288,-0.439288,-0.394377
18:42:31,13,30,0.504000,-0.439288,-0.439288,-0.394377
18:42:43,14,30,0.504000,-0.439288,-0.439288,-0.394377
18:42:56,15,30,0.420000,-0.439288,-0.439288,-0.394377
18:43:08,16,30,0.420000,-0.439288,-0.439288,-0.394377
18:43:20,17,30,0.420000,-0.439288,-0.439288,-0.394377
18:43:32,18,30,0.420000,-0.439288,-0.439288,-0.394377
18:43:45,19,30,0.420000,-0.439288,-0.439288,-0.394377
18:43:57,20,30,0.350000,-0.439288,-0.439288,-0.394377
18:44:09,21,30,0.350000,-0.439288,-0.439288,-0.394377
18:44:21,22,30,0.350000,-0.439288,-0.439288,-0.394377
18:44:33,23,30,0.350000,-0.405491,-0.405491,-0.394377
18:44:46,24,30,0.350000,-0.405491,-0.405491,-0.349317
18:44:58,25,30,0.350000,-0.405491,-0.405491,-0.349317
18:45:10,26,30,0.350000,-0.405491,-0.405491,-0.349317
18:45:22,27,30,0.350000,-0.405491,-0.405491,-0.349317
18:45:35,28,30,0.350000,-0.405491,-0.405491,-0.349317
18:45:47,29,30,0.350000,-0.405491,-0.405491,-0.349317
18:45:59,30,30,0.291667,-0.405491,-0.405491,-0.349317
18:46:12,31,30,0.291667,-0.405491,-0.405491,-0.349317
18:46:25,32,30,0.291667,-0.405491,-0.405491,-0.349317
18:46:37,33,30,0.291667,-0.334465,-0.334465,-0.349317
18:46:49,34,30,0.291667,-0.315642,-0.315642,-0.300446
18:47:02,35,30,0.350000,-0.315642,-0.315642,-0.292494
18:47:14,36,30,0.350000,-0.315642,-0.315642,-0.292494
18:47:26,37,30,0.350000,-0.315642,-0.315642,-0.292494
18:47:39,38,30,0.350000,-0.315642,-0.315642,-0.292494
18:47:51,39,30,0.350000,-0.315642,-0.315642,-0.292494
18:48:03,40,30,0.291667,-0.315642,-0.315642,-0.292494
18:48:16,41,30,0.291667,-0.315642,-0.315642,-0.292494
18:48:28,42,30,0.291667,-0.315642,-0.315642,-0.292494
18:48:40,43,30,0.291667,-0.315642,-0.315642,-0.292494
18:48:53,44,30,0.291667,-0.315642,-0.315642,-0.292494
18:49:05,45,30,0.243056,-0.315642,-0.315642,-0.292494
18:49:17,46,30,0.243056,-0.315642,-0.315642,-0.292494
18:49:30,47,30,0.243056,-0.315642,-0.315642,-0.292494
18:49:42,48,30,0.243056,-0.315642,-0.315642,-0.292494
18:49:54,49,30,0.243056,-0.315642,-0.315642,-0.292494
18:50:06,50,30,0.202546,-0.315642,-0.315642,-0.292494
18:50:19,51,30,0.202546,-0.315642,-0.315642,-0.292494
18:50:32,52,30,0.202546,-0.315642,-0.315642,-0.292494
18:50:44,53,30,0.202546,-0.315642,-0.315642,-0.292494
18:50:56,54,30,0.202546,-0.315642,-0.315642,-0.292494
18:51:08,55,30,0.168789,-0.315642,-0.315642,-0.292494
18:51:21,56,30,0.168789,-0.315642,-0.315642,-0.292494
18:51:33,57,30,0.168789,-0.315642,-0.315642,-0.292494
18:51:45,58,30,0.168789,-0.315642,-0.315642,-0.292494
18:51:58,59,30,0.168789,-0.315642,-0.315642,-0.292494
18:52:10,60,30,0.140657,-0.315642,-0.315642,-0.292494
18:52:22,61,30,0.140657,-0.315642,-0.315642,-0.292494
18:52:35,62,30,0.140657,-0.315642,-0.315642,-0.292494
18:52:48,63,30,0.140657,-0.315642,-0.315642,-0.292494
18:53:01,64,30,0.140657,-0.315642,-0.315642,-0.292494
18:53:14,65,30,0.117214,-0.315642,-0.315642,-0.292494
18:53:26,66,30,0.117214,-0.315642,-0.315642,-0.292494
18:53:39,67,30,0.117214,-0.315642,-0.315642,-0.292494
18:53:52,68,30,0.117214,-0.301001,-0.301001,-0.292494
18:54:05,69,30,0.117214,-0.301001,-0.301001,-0.280357
18:54:18,70,30,0.117214,-0.301001,-0.301001,-0.280357
18:54:31,71,30,0.117214,-0.301001,-0.301001,-0.280357
18:54:43,72,30,0.117214,-0.301001,-0.301001,-0.280357
18:54:56,73,30,0.117214,-0.301001,-0.301001,-0.280357
18:55:09,74,30,0.117214,-0.301001,-0.301001,-0.280357
18:55:22,75,30,0.097679,-0.301001,-0.301001,-0.280357
18:55:35,76,30,0.097679,-0.301001,-0.301001,-0.280357
18:55:48,77,30,0.097679,-0.301001,-0.301001,-0.280357
18:56:00,78,30,0.097679,-0.301001,-0.301001,-0.280357
18:56:13,79,30,0.097679,-0.301001,-0.301001,-0.280357
18:56:26,80,30,0.081399,-0.301001,-0.301001,-0.280357
