generation,best_fitness,mean_fitness,median_fitness
0,80368.234375,80372.3359375,80372.796875
1,80360.9921875,80366.3359375,80365.8828125
2,80357.1171875,80362.96875,80363.171875
3,80354.546875,80359.28125,80357.96875
4,80349.7265625,80356.765625,80357.40625
5,80346.8828125,80352.859375,80353.59375
6,80344.9375,80349.671875,80350.015625
7,80344.203125,80348.8671875,80348.9765625
8,80342.8203125,80346.8984375,80347.5859375
9,80340.0234375,80344.3359375,80344.3984375
10,80338.296875,80342.421875,80343.2421875
11,80335.8046875,80340.2265625,80340.1875
12,80336.4453125,80339.3671875,80339.046875
13,80332.8515625,80338.640625,80339.28125
14,80334.296875,80337.4453125,80337.6171875
15,80331.7265625,80335.5703125,80335.03125
16,80332.125,80335.609375,80335.5546875
17,80330.9375,80334.234375,80334.09375
18,80327.296875,80332.2265625,80331.5703125
19,80326.4921875,80331.3359375,80331.53125
20,80327.9296875,80331.453125,80330.328125
21,80326.609375,80330.5234375,80329.9140625
22,80323.8671875,80327.765625,80327.9453125
23,80323.703125,80327.0390625,80327.109375
24,80324.84375,80327.359375,80327.609375
25,80324.3203125,80327.078125,80327.21875
26,80323.3203125,80325.640625,80325.6796875
27,80324.140625,80325.8828125,80325.640625
28,80322.4140625,80326.484375,80326.59375
29,80321.9375,80324.859375,80324.59375
30,80321.359375,80324.625,80325.2421875
31,80319.765625,80323.859375,80323.203125
32,80321.03125,80323.703125,80323.8125
33,80319.75,80322.609375,80322.671875
34,80318.5390625,80322.5546875,80323.421875
35,80319.09375,80321.890625,80322.1484375
36,80320.21875,80322.3359375,80321.9765625
37,80320.453125,80322.796875,80322.765625
38,80320.171875,80322.3671875,80322.34375
39,80317.6015625,80322.015625,80322.453125
40,80317.765625,80320.921875,80320.9453125
41,80316.1015625,80319.578125,80319.71875
42,80316.5625,80319.1796875,80319.1953125
43,80315.3671875,80318.203125,80318.2265625
44,80314.8828125,80316.953125,80316.625
45,80315.0390625,80316.328125,80316.21875
46,80314.1875,80315.7734375,80315.8125
47,80314.3515625,80316.0078125,80315.828125
48,80313.0390625,80316.15625,80316.5
49,80313.7578125,80315.3203125,80315.0
