generation,best_fitness,mean_fitness,median_fitness
0,80362.359375,80371.25,80372.09375
1,80365.6328125,80368.96875,80368.8125
2,80359.53125,80368.046875,80368.0234375
3,80359.1953125,80364.140625,80363.921875
4,80355.3671875,80361.46875,80362.203125
5,80352.78125,80357.4453125,80357.796875
6,80353.59375,80355.125,80354.9375
7,80349.53125,80353.953125,80354.40625
8,80349.796875,80353.2265625,80354.546875
9,80351.1484375,80353.609375,80353.8984375
10,80346.125,80351.7890625,80350.328125
11,80346.796875,80349.9921875,80350.328125
12,80345.9375,80349.6171875,80349.9140625
13,80343.2734375,80348.1953125,80349.015625
14,80342.0625,80346.03125,80347.1875
15,80338.7578125,80344.3671875,80344.03125
16,80339.96875,80342.0234375,80341.65625
17,80335.46875,80340.359375,80340.703125
18,80335.9140625,80339.2109375,80339.296875
19,80333.765625,80338.515625,80337.859375
20,80328.21875,80335.4609375,80335.609375
21,80327.625,80332.53125,80332.6875
22,80329.2265625,80332.3125,80332.2421875
23,80328.15625,80330.109375,80329.6875
24,80328.203125,80330.2890625,80329.5859375
25,80327.015625,80330.0,80330.953125
26,80326.234375,80329.0234375,80329.421875
27,80325.328125,80328.171875,80328.1875
28,80325.3125,80327.640625,80327.734375
29,80325.78125,80327.0,80326.625
30,80323.171875,80326.078125,80326.5625
31,80321.8515625,80325.0390625,80324.5625
32,80320.6953125,80322.7890625,80322.234375
33,80321.2109375,80323.734375,80323.375
34,80319.2890625,80322.328125,80322.7421875
35,80320.5703125,80322.609375,80322.640625
36,80321.265625,80322.546875,80322.28125
37,80319.375,80322.0859375,80321.640625
38,80318.5859375,80321.0390625,80321.796875
39,80317.046875,80319.578125,80319.890625
40,80315.984375,80317.8046875,80317.8359375
41,80315.0859375,80318.859375,80319.109375
42,80315.921875,80317.515625,80317.5625
43,80315.984375,80317.6796875,80317.5078125
44,80314.6484375,80316.890625,80316.3359375
45,80314.984375,80317.234375,80317.171875
46,80312.609375,80316.0,80315.1796875
47,80313.96875,80316.046875,80315.828125
48,80312.3515625,80314.453125,80315.03125
49,80311.046875,80314.6875,80314.8671875
50,80313.2421875,80314.5625,80314.671875
51,80312.421875,80314.8515625,80314.5390625
52,80312.1875,80314.234375,80314.515625
53,80312.359375,80314.4453125,80314.6328125
54,80312.9375,80314.515625,80314.4453125
55,80312.390625,80314.953125,80314.796875
56,80311.4453125,80314.0703125,80314.03125
57,80311.6640625,80313.1328125,80313.109375
58,80311.7109375,80313.1875,80313.03125
59,80311.359375,80312.765625,80311.921875
60,80309.84375,80312.4296875,80312.890625
61,80309.7734375,80311.8203125,80311.8125
62,80309.8984375,80311.34375,80310.984375
63,80309.546875,80311.75,80311.921875
64,80310.1171875,80311.75,80311.875
65,80309.109375,80310.5,80310.4140625
66,80308.75,80310.734375,80310.7265625
67,80307.7265625,80310.6484375,80311.1640625
68,80308.4453125,80310.1015625,80309.8046875
69,80308.0859375,80310.421875,80310.3828125
70,80308.3359375,80310.046875,80310.28125
71,80307.546875,80309.71875,80309.828125
72,80307.3984375,80309.296875,80309.3046875
73,80306.7421875,80309.2734375,80309.578125
74,80307.7578125,80309.8984375,80309.75
75,80306.6484375,80309.421875,80309.375
76,80306.453125,80308.0078125,80307.90625
77,80305.9375,80307.3125,80307.28125
78,80305.296875,80306.90625,80306.96875
79,80306.0703125,80307.328125,80307.25
80,80305.7265625,80306.828125,80306.890625
81,80304.8984375,80307.375,80307.953125
82,80305.46875,80306.6640625,80306.75
83,80305.6328125,80306.6484375,80306.625
84,80306.203125,80307.4765625,80307.734375
85,80306.265625,80307.84375,80307.6640625
86,80305.3125,80307.265625,80307.34375
87,80304.7265625,80306.8671875,80307.0625
88,80305.421875,80307.28125,80307.15625
89,80305.421875,80306.6875,80306.421875
90,80306.3515625,80307.328125,80307.015625
91,80305.484375,80306.6796875,80306.453125
92,80305.421875,80306.859375,80306.4296875
93,80304.6796875,80306.3359375,80306.4453125
94,80304.8984375,80307.171875,80307.203125
95,80305.515625,80306.46875,80305.9609375
96,80305.6171875,80306.640625,80306.5390625
97,80304.96875,80306.6484375,80306.734375
98,80304.7890625,80306.8203125,80307.125
99,80305.0703125,80306.8203125,80306.5
100,80304.375,80305.96875,80305.703125
101,80303.21875,80305.390625,80305.375
102,80303.46875,80305.015625,80305.09375
103,80303.625,80305.3828125,80305.453125
104,80304.2109375,80305.2890625,80305.0
105,80302.8359375,80304.2421875,80304.140625
106,80301.6328125,80303.828125,80303.53125
107,80303.0859375,80304.0625,80303.953125
108,80303.4375,80304.609375,80304.671875
109,80303.8671875,80304.703125,80304.6875
110,80303.0859375,80304.2421875,80304.265625
111,80302.8984375,80304.0078125,80303.46875
112,80301.9921875,80303.390625,80303.46875
113,80301.1171875,80303.171875,80303.21875
114,80300.7109375,80302.796875,80302.9140625
115,80300.421875,80302.15625,80302.1875
116,80301.0703125,80301.953125,80301.8203125
117,80300.40625,80301.9609375,80301.875
118,80301.09375,80303.1875,80303.3671875
119,80300.2578125,80302.875,80303.1875
120,80300.921875,80302.3515625,80302.484375
121,80299.96875,80302.734375,80302.703125
122,80300.375,80301.796875,80301.484375
123,80299.9375,80301.359375,80301.46875
124,80300.625,80301.890625,80302.0
125,80299.734375,80301.453125,80301.484375
126,80300.515625,80301.7890625,80302.0
127,80300.625,80301.578125,80301.78125
128,80301.7890625,80302.46875,80302.1328125
129,80301.515625,80302.921875,80302.7734375
130,80300.8125,80302.4453125,80302.28125
131,80301.5859375,80302.6484375,80302.5546875
132,80301.7265625,80302.75,80302.5
133,80301.0234375,80302.7578125,80302.65625
134,80300.1953125,80302.015625,80302.0078125
135,80300.75,80302.1640625,80301.875
136,80300.4765625,80301.421875,80301.390625
137,80300.015625,80300.8984375,80300.890625
138,80300.5234375,80301.6875,80301.515625
139,80300.3046875,80301.921875,80301.875
140,80300.75,80301.7578125,80301.625
141,80300.921875,80301.8359375,80301.640625
142,80300.90625,80302.2265625,80302.03125
143,80301.0703125,80302.09375,80302.046875
144,80300.6171875,80302.078125,80301.609375
145,80299.8203125,80301.7109375,80301.796875
146,80299.9375,80301.265625,80301.4375
147,80300.484375,80301.5234375,80301.40625
148,80300.15625,80301.28125,80301.0234375
149,80299.96875,80301.3515625,80301.296875
