generation,best_fitness,mean_fitness,median_fitness
0,3445.84912109375,3892.092529296875,3870.166015625
1,3445.84912109375,3892.092529296875,3870.166015625
2,3445.84912109375,3892.092529296875,3870.166015625
3,3445.84912109375,3892.092529296875,3870.166015625
4,3445.84912109375,3884.566598893163,3870.166015625
5,3445.84912109375,3884.566598893163,3870.166015625
6,3445.84912109375,3884.566598893163,3870.166015625
7,3139.2903225417845,3776.081959272341,3787.379638671875
8,3139.2903225417845,3776.081959272341,3787.379638671875
9,3139.2903225417845,3776.081959272341,3787.379638671875
10,3139.2903225417845,3776.081959272341,3787.379638671875
11,3139.2903225417845,3776.081959272341,3787.379638671875
12,2932.7625325350255,3755.4291802716652,3787.379638671875
13,2932.7625325350255,3713.416439743613,3787.379638671875
14,2932.7625325350255,3713.416439743613,3787.379638671875
15,2709.6058106045675,3511.2383907151234,3708.35908809904
16,2709.6058106045675,3457.0882657482202,3633.2431640625
17,2709.6058106045675,3433.9719554570947,3547.0590192379937
18,2709.6058106045675,3210.917981741103,2993.9239621173074
19,2118.5752785221002,2999.228704920416,2904.9208257235073
20,2104.85469755787,2672.292863595846,2690.1455157389005
21,2104.85469755787,2555.7617863829955,2588.0189652255367
22,2104.85469755787,2468.0515610868874,2477.9432978588547
23,2104.85469755787,2416.372743535984,2357.206429590501
24,2071.194038254867,2280.0660580065005,2288.640860857532
25,1983.3010150020086,2206.647514158211,2169.685677629662
26,1978.303531654533,2132.4016260789385,2105.0070161756385
27,1978.303531654533,2118.2468578355792,2093.6181141344423
28,1946.8635435756114,2114.4775145685812,2093.6181141344423
29,1946.8635435756114,2063.954091624172,2071.057622309192
30,1904.1741151429167,2017.8068453550113,1970.1344994914343
31,1853.072872017266,1985.586869162611,1954.9370210282982
32,1853.072872017266,1970.501364032973,1947.5067397679127
33,1853.072872017266,1967.4398283122125,1946.6688403498388
34,1853.072872017266,1957.7862153235135,1933.413687425012
35,1853.072872017266,1947.588356651091,1924.8002589516304
36,1853.072872017266,1944.8939294985448,1924.8002589516304
37,1853.072872017266,1935.884624415811,1904.8511947453276
38,1837.039863722714,1931.4803968328174,1899.6699487756448
39,1837.039863722714,1930.7963528678192,1899.6699487756448
40,1837.039863722714,1927.1256082968562,1889.580253271823
41,1837.039863722714,1925.4390026811604,1889.580253271823
42,1837.039863722714,1924.2750361896578,1889.580253271823
43,1837.039863722714,1922.492959540787,1889.580253271823
44,1837.039863722714,1921.6737480772892,1889.580253271823
45,1837.039863722714,1921.5178187416575,1888.800606593665
46,1837.039863722714,1921.5178187416575,1888.800606593665
47,1837.039863722714,1921.2636776331194,1888.800606593665
48,1837.039863722714,1921.0231532660314,1888.800606593665
49,1837.039863722714,1921.0231532660314,1888.800606593665
50,1837.039863722714,1920.6980259339932,1888.800606593665
51,1837.039863722714,1919.6843182248413,1888.800606593665
52,1837.039863722714,1919.340454057019,1887.081285754552
53,1837.039863722714,1919.1274599762583,1887.081285754552
54,1837.039863722714,1919.1274599762583,1887.081285754552
55,1837.039863722714,1918.9999477304477,1887.081285754552
56,1837.039863722714,1918.3457413227097,1885.619541136908
57,1837.039863722714,1918.3457413227097,1885.619541136908
58,1837.039863722714,1918.2480822631412,1885.619541136908
59,1837.039863722714,1918.2480822631412,1885.619541136908
60,1837.039863722714,1918.1678773133804,1885.619541136908
61,1837.039863722714,1918.1678773133804,1885.619541136908
62,1835.0418453152006,1917.9680754726292,1885.619541136908
63,1832.070632984617,1917.6709542395706,1885.619541136908
64,1832.070632984617,1917.6709542395706,1885.619541136908
65,1832.070632984617,1917.6592417915217,1885.619541136908
66,1832.070632984617,1917.6592417915217,1885.619541136908
67,1832.070632984617,1917.6592417915217,1885.619541136908
68,1832.070632984617,1917.6592417915217,1885.619541136908
69,1832.070632984617,1917.6592417915217,1885.619541136908
70,1832.070632984617,1917.6592417915217,1885.619541136908
71,1832.070632984617,1917.4842754408478,1884.7447093835383
72,1832.070632984617,1917.4842754408478,1884.7447093835383
73,1832.070632984617,1917.4842754408478,1884.7447093835383
74,1832.070632984617,1917.4842754408478,1884.7447093835383
75,1832.070632984617,1917.4842754408478,1884.7447093835383
76,1832.070632984617,1917.4842754408478,1884.7447093835383
77,1832.070632984617,1917.4842754408478,1884.7447093835383
78,1832.070632984617,1917.2135714141884,1884.7447093835383
79,1832.070632984617,1917.2135714141884,1884.7447093835383
80,1832.070632984617,1916.9731951858703,1884.7447093835383
81,1832.070632984617,1916.9731951858703,1884.7447093835383
82,1832.070632984617,1916.7443707783823,1884.7447093835383
83,1832.070632984617,1916.7443707783823,1884.7447093835383
84,1832.070632984617,1916.7443707783823,1884.7447093835383
85,1832.070632984617,1916.7443707783823,1884.7447093835383
86,1832.070632984617,1916.7443707783823,1884.7447093835383
87,1832.070632984617,1916.6390619250822,1884.7447093835383
88,1832.070632984617,1916.6390619250822,1884.7447093835383
89,1832.070632984617,1916.6390619250822,1884.7447093835383
90,1831.6514169784282,1916.5971403244635,1884.7447093835383
91,1831.6514169784282,1916.5971403244635,1884.7447093835383
92,1831.6514169784282,1916.5072989490468,1884.7447093835383
93,1831.6514169784282,1916.5072989490468,1884.7447093835383
94,1831.6514169784282,1916.4795541618594,1884.7447093835383
95,1831.6514169784282,1916.4795541618594,1884.7447093835383
96,1831.6514169784282,1916.4795541618594,1884.7447093835383
97,1831.6514169784282,1916.4795541618594,1884.7447093835383
98,1831.6514169784282,1916.4795541618594,1884.7447093835383
99,1831.6514169784282,1916.4795541618594,1884.7447093835383
