generation,best_fitness,mean_fitness,median_fitness
0,2.5484266187881025e-05,2.5484266187881025e-05,2.5484266187881025e-05
1,-0.00014319369086388117,-0.00014319369086388117,-0.00014319369086388117
2,-0.00012720591387492598,-0.00012720591387492598,-0.00012720591387492598
3,-0.00018808333786510256,-0.00018808333786510256,-0.00018808333786510256
4,-0.0008809609468902298,-0.0008809609468902298,-0.0008809609468902298
5,-0.0008158956592266178,-0.0008158956592266178,-0.0008158956592266178
6,-0.000790309911179447,-0.000790309911179447,-0.000790309911179447
7,-0.0008621349331827691,-0.0008621349331827691,-0.0008621349331827691
8,-0.0007039870031762532,-0.0007039870031762532,-0.0007039870031762532
9,-0.0006846664169966277,-0.0006846664169966277,-0.0006846664169966277
10,-0.0005007958262997195,-0.0005007958262997195,-0.0005007958262997195
11,-0.000609316681070196,-0.000609316681070196,-0.000609316681070196
12,-0.00032790942620288953,-0.00032790942620288953,-0.00032790942620288953
13,-0.000509462472806475,-0.000509462472806475,-0.000509462472806475
14,-0.0007739136420629544,-0.0007739136420629544,-0.0007739136420629544
15,-0.0006222469108414497,-0.0006222469108414497,-0.0006222469108414497
16,4.3841121374705956e-05,4.3841121374705956e-05,4.3841121374705956e-05
17,-0.0002903561338084629,-0.0002903561338084629,-0.0002903561338084629
18,-0.0001858948634023234,-0.0001858948634023234,-0.0001858948634023234
19,1.0058436199836841e-05,1.0058436199836841e-05,1.0058436199836841e-05
20,8.936340480902936e-06,8.936340480902936e-06,8.936340480902936e-06
21,-0.00010887813743155824,-0.00010887813743155824,-0.00010887813743155824
22,-0.00010782449488253345,-0.00010782449488253345,-0.00010782449488253345
23,-0.0003799133709208364,-0.0003799133709208364,-0.0003799133709208364
24,-0.0007886776881511293,-0.0007886776881511293,-0.0007886776881511293
25,-0.001205204231690589,-0.001205204231690589,-0.001205204231690589
26,-0.001509518043041788,-0.001509518043041788,-0.001509518043041788
27,-0.0012571938526002662,-0.0012571938526002662,-0.0012571938526002662
28,-0.0017852807796389688,-0.0017852807796389688,-0.0017852807796389688
29,-0.0016982642644151056,-0.0016982642644151056,-0.0016982642644151056
30,-0.0013865993135697315,-0.0013865993135697315,-0.0013865993135697315
31,-0.0020827696771432386,-0.0020827696771432386,-0.0020827696771432386
32,-0.0020899669491672716,-0.0020899669491672716,-0.0020899669491672716
33,-0.0015181300419962692,-0.0015181300419962692,-0.0015181300419962692
34,-0.0006604026651576067,-0.0006604026651576067,-0.0006604026651576067
35,-0.0006092419840969758,-0.0006092419840969758,-0.0006092419840969758
36,-0.00020547580585589614,-0.00020547580585589614,-0.00020547580585589614
37,2.9506707698046824e-05,2.9506707698046824e-05,2.9506707698046824e-05
38,3.083606873102353e-05,3.083606873102353e-05,3.083606873102353e-05
39,0.0009124239282444117,0.0009124239282444117,0.0009124239282444117
40,5.906947729231649e-05,5.906947729231649e-05,5.906947729231649e-05
41,-5.90900475059794e-05,-5.90900475059794e-05,-5.90900475059794e-05
42,-0.0003095592529646681,-0.0003095592529646681,-0.0003095592529646681
43,0.0002304527996793491,0.0002304527996793491,0.0002304527996793491
44,0.00028611645898361684,0.00028611645898361684,0.00028611645898361684
45,0.0008988126156766001,0.0008988126156766001,0.0008988126156766001
46,0.0012776423776313464,0.0012776423776313464,0.0012776423776313464
47,0.0016050660874483767,0.0016050660874483767,0.0016050660874483767
48,0.001320677143088551,0.001320677143088551,0.001320677143088551
49,0.0020475342968778922,0.0020475342968778922,0.0020475342968778922
50,0.0016869526700172268,0.0016869526700172268,0.0016869526700172268
51,0.0020488986638477003,0.0020488986638477003,0.0020488986638477003
52,0.0019387414356977985,0.0019387414356977985,0.0019387414356977985
53,0.0019688765142985586,0.0019688765142985586,0.0019688765142985586
54,0.0007684273369322939,0.0007684273369322939,0.0007684273369322939
55,0.0018892156861618188,0.0018892156861618188,0.0018892156861618188
56,0.0007882812594386153,0.0007882812594386153,0.0007882812594386153
57,0.00106023426833897,0.00106023426833897,0.00106023426833897
58,0.0009129378623866646,0.0009129378623866646,0.0009129378623866646
59,0.0012899813010767331,0.0012899813010767331,0.0012899813010767331
